episode,date_id,seed,is_naive,gamma,demand_scale,platoon_factor,experiment_horizon,double_layer_horizon,coeffs_up,coeffs_dn,waits,moves,total
0,15,0,True,0.72,1.0,2.0,168,4,,,43260.0,24901.28898537434,68161.28898537434
1,16,1,True,0.72,1.0,2.0,168,4,,,40860.0,25135.858932859042,65995.85893285905
2,17,2,True,0.72,1.0,2.0,168,4,,,36366.0,25123.471819942646,61489.47181994264
3,20,3,True,0.72,1.0,2.0,168,4,,,25719.0,25395.225922795595,51114.225922795595
4,21,4,True,0.72,1.0,2.0,168,4,,,16482.0,25579.15833626774,42061.15833626774
5,22,5,True,0.72,1.0,2.0,168,4,,,30465.0,24476.73097738282,54941.73097738282
6,23,6,True,0.72,1.0,2.0,168,4,,,30780.0,25283.071029795476,56063.07102979548
7,27,7,True,0.72,1.0,2.0,168,4,,,18510.0,25093.782989945295,43603.78298994529
8,28,8,True,0.72,1.0,2.0,168,4,,,17562.0,26151.15558935984,43713.15558935984
9,29,9,True,0.72,1.0,2.0,168,4,,,32232.0,24399.135401717045,56631.135401717045
10,30,10,True,0.72,1.0,2.0,168,4,,,33180.0,25412.739608508222,58592.73960850822
11,31,11,True,0.72,1.0,2.0,168,4,,,17808.0,25182.47969043888,42990.47969043888
12,15,12,True,0.72,1.0,2.0,168,4,,,44352.0,25187.53120585928,69539.53120585928
13,16,13,True,0.72,1.0,2.0,168,4,,,35766.0,24927.04156362839,60693.04156362839
14,17,14,True,0.72,1.0,2.0,168,4,,,35061.0,24614.902740993966,59675.902740993966
15,20,15,True,0.72,1.0,2.0,168,4,,,23526.0,25718.456489812615,49244.45648981261
16,21,16,True,0.72,1.0,2.0,168,4,,,18945.0,25415.869837535345,44360.86983753534
17,22,17,True,0.72,1.0,2.0,168,4,,,32409.0,24813.506725910764,57222.50672591076
18,23,18,True,0.72,1.0,2.0,168,4,,,26265.0,25494.879704744926,51759.879704744926
19,27,19,True,0.72,1.0,2.0,168,4,,,17919.0,25342.099614270373,43261.09961427037
20,28,20,True,0.72,1.0,2.0,168,4,,,18051.0,26068.088983091122,44119.08898309112
21,29,21,True,0.72,1.0,2.0,168,4,,,31047.0,24900.573655057182,55947.57365505718
22,30,22,True,0.72,1.0,2.0,168,4,,,29499.0,24349.865139903115,53848.865139903115
23,31,23,True,0.72,1.0,2.0,168,4,,,18537.0,25149.73890967855,43686.73890967855
24,15,24,True,0.72,1.0,2.0,168,4,,,42279.0,25015.247947809694,67294.2479478097
25,16,25,True,0.72,1.0,2.0,168,4,,,36540.0,24619.39450228587,61159.39450228587
26,17,26,True,0.72,1.0,2.0,168,4,,,37359.0,25289.61386876073,62648.61386876073
27,20,27,True,0.72,1.0,2.0,168,4,,,23577.0,25163.38652722782,48740.38652722782
28,21,28,True,0.72,1.0,2.0,168,4,,,18147.0,25306.8882208738,43453.8882208738
29,22,29,True,0.72,1.0,2.0,168,4,,,37032.0,25174.7245973213,62206.7245973213
30,23,30,True,0.72,1.0,2.0,168,4,,,27198.0,25256.0867793099,52454.0867793099
31,27,31,True,0.72,1.0,2.0,168,4,,,15264.0,25619.424679154065,40883.424679154065
32,28,32,True,0.72,1.0,2.0,168,4,,,18771.0,25298.067806880703,44069.0678068807
